Iteration, Average Percent Utilization
1,7.727
2,16.870
3,24.915
4,32.532
5,40.698
6,41.162
7,44.116
8,36.389
9,37.708
10,47.021
11,53.125
12,61.792
13,67.078
14,72.083
15,79.700
16,83.667
17,93.213
18,87.424
19,92.513
20,89.590
21,82.275
22,87.578
23,82.599
24,87.464
25,86.418
26,83.105
27,86.215
28,85.477
29,82.949
30,84.831
31,84.174
32,85.175
33,85.895
34,88.696
35,89.203
36,89.355
37,86.592
38,82.807
39,85.375
40,87.414
41,85.574
42,85.932
43,82.547
44,83.952
45,85.889
46,85.943
47,89.480
48,90.278
49,87.685
50,88.271
51,90.656
52,92.110
53,90.957
54,88.881
55,89.295
56,90.774
57,88.166
58,87.649
59,88.867
60,86.027
61,86.426
62,88.438
63,87.577
64,85.707
65,86.305
66,87.738
67,86.550
68,86.407
69,86.610
70,85.518
71,86.918
72,86.042
73,87.156
74,88.665
75,89.153
76,88.459
77,89.760
78,87.884
79,88.052
80,90.026
81,88.223
82,87.897
83,88.700
84,88.360
85,88.369
86,89.642
87,90.004
88,90.108
89,87.705
90,89.195
91,89.822
92,90.392
93,90.565
94,89.127
95,90.048
96,90.381
97,90.564
98,91.534
99,91.901
100,92.401
101,91.646
102,90.148
103,90.858
104,92.285
105,93.020
106,92.115
107,92.857
108,92.437
109,92.735
110,92.243
111,91.036
112,90.670
113,90.312
114,90.747
115,90.032
116,91.182
117,90.246
118,90.330
119,89.698
120,90.300
121,89.839
122,89.084
123,89.319
124,88.210
125,89.316
126,87.776
127,88.279
128,89.694
129,88.916
130,87.997
131,88.967
132,89.285
133,88.720
134,89.117
135,88.304
136,89.197
137,88.785
138,89.359
139,90.161
140,90.701
141,91.486
142,91.115
143,90.514
144,89.883
145,90.075
146,90.670
147,90.824
148,91.577
149,90.695
150,91.178
151,90.446
152,90.107
153,90.463
154,89.920
155,90.691
156,90.455
157,89.753
158,90.587
159,90.851
160,91.077
161,90.827
162,91.320
163,91.083
164,90.850
165,91.346
166,91.670
167,91.182
168,90.458
169,91.030
170,90.823
171,90.143
172,90.578
173,91.316
174,90.542
175,89.605
176,90.032
177,90.918
178,90.714
179,90.233
180,89.736
181,89.084
182,89.636
183,89.960
184,89.435
185,90.166
186,89.766
187,89.912
188,90.290
189,90.674
190,91.063
191,90.505
192,90.068
193,89.457
194,89.840
195,90.486
196,91.088
197,90.723
198,90.885
199,90.496
200,90.701
201,90.835
202,90.200
203,89.195
204,90.011
205,90.034
206,90.638
207,90.743
208,91.013
209,91.300
210,91.676
211,90.918
212,91.670
213,91.834
214,91.883
215,91.387
216,91.561
217,91.846
218,91.551
219,90.972
220,90.553
221,90.234
222,89.733
223,89.585
224,90.123
225,89.787
226,89.894
227,90.354
228,89.809
229,89.944
230,90.453
231,89.700
232,89.393
233,89.982
234,89.358
235,89.775
236,90.136
237,90.259
238,90.794
239,90.600
240,90.902
241,90.429
242,90.039
243,89.549
244,89.607
245,89.208
246,89.440
247,89.157
248,89.284
249,89.652
250,89.291
251,89.413
252,89.946
253,89.509
254,89.231
255,89.639
256,90.100
257,90.565
258,90.700
259,91.045
260,90.470
261,91.135
262,91.540
263,91.586
264,91.855
265,91.352
266,91.790
267,92.010
268,91.774
269,91.949
270,91.526
271,91.207
272,90.920
273,90.775
274,91.190
275,90.780
276,90.586
277,90.921
278,90.744
279,90.858
280,91.145
281,90.806
282,90.481
283,90.916
284,90.711
285,90.836
286,90.588
287,89.882
288,90.396
289,90.612
290,90.614
291,90.377
292,90.094
293,90.172
294,90.285
295,89.954
296,90.171
297,90.188
298,90.063
299,90.081
300,90.360
301,90.607
302,90.939
303,91.309
304,91.061
305,90.842
306,90.455
307,90.100
308,89.742
309,90.075
310,90.386
311,90.819
312,90.460
313,90.290
314,90.566
315,90.440
316,90.137
317,89.996
318,89.353
319,89.961
320,89.643
321,89.243
322,89.560
323,89.934
324,89.948
325,90.037
326,90.119
327,90.179
328,90.334
329,90.449
330,90.486
331,90.269
332,90.297
333,90.104
334,89.883
335,89.694
336,89.768
337,89.851
338,89.589
339,89.443
340,89.523
341,89.791
342,89.510
343,89.317
344,89.476
345,89.273
346,89.340
347,89.130
348,89.402
349,89.262
350,89.543
351,89.543
352,89.730
353,89.842
354,89.658
355,89.443
356,89.243
357,89.348
358,89.484
359,89.267
360,89.073
361,89.120
362,89.339
363,88.785
364,88.942
365,89.148
366,89.633
367,89.543
368,89.570
369,89.423
370,89.501
371,89.730
372,89.848
373,89.730
374,89.614
375,89.872
376,90.023
377,90.169
378,90.085
379,90.243
380,89.985
381,90.293
382,90.112
383,89.790
384,90.184
385,90.286
386,90.190
387,89.931
388,89.623
389,89.532
390,89.347
391,89.464
392,89.407
393,89.722
394,89.611
395,89.485
396,89.365
397,89.655
398,89.503
399,89.215
400,89.218
401,89.421
402,89.345
403,89.564
404,89.548
405,89.686
406,89.953
407,89.964
408,90.199
409,90.239
410,90.112
411,89.975
412,90.092
413,90.105
414,90.329
415,90.189
416,90.494
417,90.670
418,90.712
419,90.899
420,90.917
421,90.599
422,90.466
423,90.329
424,90.152
425,90.349
426,90.271
427,90.542
428,90.591
429,90.600
430,90.264
431,90.554
432,90.377
433,90.413
434,90.558
435,90.759
436,90.803
437,90.675
438,90.412
439,90.661
440,90.835
441,90.642
442,90.373
443,90.392
444,90.416
445,90.339
446,90.424
447,90.210
448,90.105
449,89.913
450,90.031
451,89.785
452,89.915
453,89.797
454,89.726
455,89.897
456,90.174
457,89.969
458,89.825
459,90.048
460,90.109
461,90.327
462,90.118
463,90.192
464,90.341
465,90.144
466,89.828
467,89.683
468,89.578
469,89.534
470,89.771
471,90.000
472,90.255
473,90.358
474,90.369
475,90.672
476,90.761
477,90.573
478,90.374
479,90.586
480,90.467
481,90.324
482,90.182
483,90.000
484,90.135
485,89.867
486,89.673
487,89.694
488,89.876
489,89.864
490,90.079
491,90.108
492,90.013
493,90.260
494,90.176
495,90.015
496,90.061
497,89.973
498,89.872
499,89.970
500,89.626
501,89.651
502,89.781
503,90.020
504,89.786
505,89.692
506,89.764
507,89.688
508,89.689
509,89.757
510,89.902
511,90.137
512,89.917
513,90.131
514,90.142
515,90.013
516,90.102
517,89.962
518,90.177
519,90.360
520,90.462
521,90.267
522,90.048
523,89.929
524,89.948
525,89.968
526,89.836
527,89.756
528,89.586
529,89.420
530,89.458
531,89.292
532,89.429
533,89.287
534,89.457
535,89.400
536,89.227
537,89.323
538,89.527
539,89.528
540,89.345
541,89.118
542,89.219
543,89.323
544,89.379
545,89.565
546,89.389
547,89.248
548,89.048
549,88.706
550,89.014
551,89.057
552,88.969
553,88.976
554,89.026
555,89.036
556,88.803
557,88.844
558,88.940
559,88.865
560,88.933
561,88.754
562,88.869
563,88.692
564,88.524
565,88.471
566,88.428
567,88.490
568,88.322
569,88.252
570,88.319
571,88.253
572,88.088
573,87.930
574,88.128
575,87.982
576,88.319
577,88.233
578,88.082
579,88.281
580,88.126
581,88.267
582,88.148
583,88.364
584,88.513
585,88.160
586,88.374
587,88.392
588,88.647
589,88.826
590,89.028
591,88.857
592,88.728
593,88.674
594,88.750
595,89.004
596,89.011
597,88.848
598,89.006
599,88.886
600,88.845
601,88.904
602,88.916
603,88.977
604,88.818
605,88.878
606,89.043
607,89.068
608,88.967
609,89.066
610,88.999
611,88.867
612,88.661
613,88.878
614,88.909
615,89.034
616,89.171
617,89.048
618,89.248
619,89.302
620,89.461
621,89.403
622,89.486
623,89.592
624,89.756
625,89.778
626,89.779
627,89.870
628,89.712
629,89.901
630,89.969
631,90.082
632,90.108
633,90.164
634,90.092
635,90.235
636,90.292
637,90.305
638,90.199
639,90.058
640,90.231
641,90.259
642,90.155
643,90.250
644,90.336
645,90.448
646,90.313
647,90.335
648,90.212
649,90.381
650,90.570
651,90.620
652,90.729
653,90.438
654,90.489
655,90.673
656,90.843
657,90.697
658,90.502
659,90.440
660,90.474
661,90.325
662,90.174
663,90.213
664,90.317
665,90.265
666,90.103
667,89.971
668,90.070
669,90.074
670,90.159
671,90.279
672,90.481
673,90.605
674,90.444
675,90.469
