Iteration, Average Percent Utilization
1,8.594
2,12.366
3,19.739
4,21.436
5,27.905
6,28.125
7,30.896
8,39.380
9,45.288
10,36.694
11,44.238
12,50.024
13,54.773
14,55.359
15,58.203
16,66.345
17,73.376
18,80.457
19,83.704
20,90.564
21,90.857
22,85.970
23,85.000
24,81.982
25,80.025
26,78.556
27,78.743
28,79.175
29,78.035
30,76.444
31,78.767
32,81.557
33,83.761
34,83.294
35,85.085
36,82.739
37,81.687
38,83.611
39,82.048
40,83.491
41,84.608
42,83.815
43,82.397
44,81.915
45,83.836
46,85.417
47,83.913
48,84.628
49,85.201
50,85.889
51,83.878
52,85.776
53,83.671
54,82.805
55,84.055
56,86.156
57,86.984
58,86.527
59,84.816
60,86.310
61,84.741
62,84.473
63,83.929
64,84.674
65,85.661
66,84.277
67,85.014
68,85.645
69,83.742
70,83.997
71,86.322
72,86.744
73,87.163
74,87.579
75,85.876
76,85.956
77,87.744
78,87.189
79,86.457
80,86.044
81,85.398
82,84.298
83,84.726
84,83.450
85,84.717
86,83.554
87,83.724
88,84.024
89,84.267
90,85.064
91,85.074
92,83.911
93,83.572
94,83.618
95,84.539
96,84.834
97,84.523
98,83.831
99,84.412
100,85.114
101,85.828
102,86.498
103,85.483
104,84.280
105,85.313
106,86.628
107,86.651
108,87.112
109,86.142
110,85.584
111,85.838
112,86.571
113,85.800
114,86.224
115,85.817
116,86.309
117,85.077
118,85.463
119,86.385
120,86.678
121,85.680
122,85.299
123,85.365
124,86.211
125,85.853
126,86.181
127,85.402
128,85.887
129,85.740
130,85.051
131,85.272
132,85.422
133,84.714
134,84.682
135,85.018
136,85.211
137,85.671
138,85.268
139,85.735
140,85.939
141,86.364
142,86.190
143,86.201
144,86.483
145,86.117
146,85.776
147,84.606
148,84.759
149,85.725
150,84.795
151,85.835
152,86.073
153,86.310
154,85.451
155,85.273
156,86.150
157,86.333
158,85.926
159,86.141
160,85.180
161,85.676
162,85.452
163,85.493
164,85.062
165,85.437
166,84.831
167,84.993
168,85.143
169,85.245
170,84.946
171,85.357
172,85.529
173,84.872
174,85.594
175,85.200
176,85.292
177,85.462
178,85.929
179,85.974
180,85.788
181,86.117
182,85.419
183,85.742
184,85.383
185,85.582
186,86.057
187,86.209
188,86.243
189,85.630
190,86.027
191,85.380
192,86.066
193,85.371
194,84.556
195,85.047
196,84.421
197,84.310
198,84.333
199,84.124
200,84.575
201,84.076
202,84.866
203,84.725
204,84.856
205,85.012
206,84.598
207,84.538
208,84.697
209,84.578
210,84.956
211,84.858
212,84.578
213,84.321
214,84.594
215,84.314
216,83.973
217,83.578
218,83.590
219,83.438
220,83.346
221,83.434
222,83.173
223,83.717
224,84.102
225,84.549
226,84.000
227,84.661
228,84.511
229,84.336
230,84.103
231,83.640
232,84.059
233,84.283
234,84.633
235,84.200
236,84.407
237,84.705
238,84.359
239,84.474
240,84.188
241,83.724
242,83.045
243,83.464
244,83.997
245,83.775
246,83.904
247,83.622
248,83.797
249,83.695
250,83.986
251,83.740
252,83.444
253,83.821
254,84.106
255,84.115
256,84.325
257,84.433
258,84.325
259,84.363
260,84.437
261,84.551
262,84.092
263,84.001
264,84.077
265,84.212
266,84.417
267,84.728
268,84.629
269,84.639
270,84.688
271,84.504
272,84.276
273,84.375
274,84.062
275,84.296
276,84.326
277,84.333
278,84.587
279,84.740
280,84.589
281,84.480
282,84.726
283,84.809
284,84.995
285,84.483
286,84.928
287,85.046
288,84.767
289,84.257
290,84.570
291,85.030
292,85.044
293,84.810
294,84.635
295,84.954
296,84.607
297,84.426
298,83.945
299,84.128
300,84.270
301,84.866
302,84.513
303,84.362
304,84.454
305,84.570
306,84.485
307,84.643
308,84.623
309,84.369
310,84.707
311,84.575
312,84.390
313,84.525
314,84.627
315,84.751
316,84.527
317,84.939
318,84.857
319,84.548
320,84.573
321,84.192
322,84.389
323,84.419
324,84.479
325,84.228
326,84.347
327,84.682
328,84.346
329,84.611
330,84.385
331,84.207
332,84.221
333,83.621
334,83.814
335,83.901
336,84.445
337,84.504
338,84.146
339,84.247
340,84.011
341,83.866
342,83.909
343,83.610
344,83.674
345,83.596
346,83.138
347,83.036
348,83.113
349,83.451
350,83.583
351,83.445
352,83.549
353,83.623
354,83.157
355,83.543
356,83.323
357,83.422
358,83.477
359,83.299
360,83.282
361,83.303
362,83.138
363,83.411
364,83.192
365,83.154
366,83.371
367,83.408
368,83.355
369,83.242
370,83.022
371,83.322
372,83.504
373,83.743
374,83.763
375,83.993
376,83.737
377,83.898
378,84.191
379,84.037
380,83.885
381,84.094
382,84.254
383,84.332
384,83.885
385,84.294
386,84.342
387,84.376
388,84.502
389,84.115
390,83.988
391,84.218
392,84.363
393,84.371
394,84.388
395,84.679
396,84.893
397,84.669
398,84.983
399,84.839
400,85.041
401,85.277
402,85.484
403,85.200
404,84.934
405,85.266
406,85.332
407,85.348
