Iteration, Average Percent Utilization
1,2.722
2,8.936
3,9.778
4,18.494
5,15.771
6,17.407
7,22.119
8,28.723
9,38.037
10,45.557
11,53.162
12,55.688
13,62.439
14,70.532
15,71.484
16,76.807
17,79.932
18,85.181
19,78.967
20,84.839
21,93.652
22,88.162
23,87.413
24,90.299
25,85.410
26,88.242
27,90.049
28,91.328
29,91.553
30,89.844
31,86.263
32,86.377
33,84.585
34,85.990
35,80.627
36,83.068
37,83.624
38,82.617
39,85.089
40,81.857
41,82.254
42,82.492
43,81.517
44,81.953
45,79.492
46,80.078
47,78.481
48,79.912
49,79.069
50,78.994
51,78.604
52,77.734
53,77.753
54,78.990
55,78.480
56,76.767
57,78.227
58,77.212
59,75.785
60,75.465
61,74.639
62,74.476
63,74.486
64,74.282
65,74.071
66,75.832
67,76.785
68,77.084
69,76.836
70,76.878
71,75.797
72,74.146
73,74.326
74,71.997
75,73.987
76,75.000
77,75.873
78,75.912
79,75.299
80,75.098
81,76.247
82,76.315
83,75.190
84,75.784
85,76.359
86,76.343
87,75.319
88,76.143
89,75.897
90,75.905
91,76.416
92,76.521
93,76.002
94,75.396
95,75.445
96,75.743
97,76.322
98,76.160
99,76.004
100,74.605
101,75.731
102,74.953
103,75.526
104,74.848
105,73.496
106,73.644
107,73.194
108,73.496
109,73.683
110,72.483
111,73.379
112,73.446
113,73.872
114,75.063
115,75.512
116,75.134
117,75.212
118,73.805
119,74.393
120,74.136
121,74.300
122,73.667
123,74.270
124,74.502
125,73.902
126,74.783
127,74.457
128,74.318
129,74.812
130,74.132
131,74.662
132,74.519
133,75.026
134,74.718
135,74.563
136,74.158
137,74.065
138,74.594
139,75.106
140,74.773
141,74.636
142,74.230
143,74.676
144,75.203
145,74.768
146,74.422
147,74.299
148,73.991
149,74.099
150,74.650
151,74.393
152,74.867
153,75.179
154,74.808
155,75.455
156,75.670
157,75.690
158,75.187
159,75.946
160,76.124
161,75.641
162,75.660
163,75.434
164,75.235
165,74.996
166,74.726
167,75.290
168,75.227
169,75.643
170,76.110
171,75.711
172,75.923
173,75.614
174,75.853
175,75.507
176,75.908
177,76.087
178,76.522
179,75.969
180,76.045
181,75.720
182,76.546
183,76.017
184,76.320
185,75.972
186,75.792
187,75.600
188,75.593
189,75.502
